GH001A,YT03,CH4,B8,9,X10-207a,,10BBDGGGA823-1,,10CLCZJ010-2,,目标温度反馈,一回路主管道PM1-11
GH001A,YT03,CH4,B8,10,X10-207b,,10BBDGGGA823-1,,10CLCZJ010-2,,目标温度反馈,一回路主管道PM1-11
GH001A,YT03,CH5,B8,11,X10-208a,,10BBDGGGA823-1,,10CLCZJ010-2,,保护温度反馈,一回路主管道PM1-11
GH001A,YT03,CH5,B8,12,X10-208b,,10BBDGGGA823-1,,10CLCZJ010-2,,保护温度反馈,一回路主管道PM1-11
GH001A,YT03,CH6,B8,13,X10-209a,,10BBDGGGA823-1,,10CLCZJ010-2,,目标温度反馈,一回路主管道PM1-12
GH001A,YT03,CH6,B8,14,X10-209b,,10BBDGGGA823-1,,10CLCZJ010-2,,目标温度反馈,一回路主管道PM1-12
GH001A,YT03,CH7,B8,15,X10-210a,,10BBDGGGA823-1,,10CLCZJ010-2,,保护温度反馈,一回路主管道PM1-12
GH001A,YT03,CH7,B8,16,X10-210b,,10BBDGGGA823-1,,10CLCZJ010-2,,保护温度反馈,一回路主管道PM1-12
GH001A,YT04,CH0,B9,1,X10-211a,,10BBDGGGA823-1,,10CLCZJ010-2,,目标温度反馈,一回路主管道PM1-13
GH001A,YT04,CH0,B9,2,X10-211b,,10BBDGGGA823-1,,10CLCZJ010-2,,目标温度反馈,一回路主管道PM1-13
GH001A,YT04,CH1,B9,3,X10-212a,,10BBDGGGA823-1,,10CLCZJ010-2,,保护温度反馈,一回路主管道PM1-13
GH001A,YT04,CH1,B9,4,X10-212b,,10BBDGGGA823-1,,10CLCZJ010-2,,保护温度反馈,一回路主管道PM1-13
GH001A,YT04,CH2,B9,5,,,10BBDGGGA823-1,,,,保温层外壁温度5,二回路PM2-6
GH001A,YT04,CH2,B9,6,,,10BBDGGGA823-1,,,,保温层外壁温度5,二回路PM2-6
GH001A,YT04,CH3,B9,7,X5-115a,,10BBDGGGA816-1,,10CLCZJ005-1,,保温层外壁温度6,一回路PM1-8
GH001A,YT04,CH3,B9,8,X5-115b,,10BBDGGGA816-1,,10CLCZJ005-1,,保温层外壁温度6,一回路PM1-8
GH001A,YT04,CH4,B9,9,X5-113a,,10BBDGGGA816-1,,10CLCZJ005-1,,外壁热电耦7,双熔盐换热器
GH001A,YT04,CH4,B9,10,X5-113b,,10BBDGGGA816-1,,10CLCZJ005-1,,外壁热电耦7,双熔盐换热器
GH001A,YT04,CH5,B9,11,X5-114a,,10BBDGGGA816-1,,10CLCZJ005-1,,外壁热电耦8,双熔盐换热器
GH001A,YT04,CH5,B9,12,X5-114b,,10BBDGGGA816-1,,10CLCZJ005-1,,外壁热电耦8,双熔盐换热器
GH001A,YT04,CH6,B9,13,,,10BBDGGGA816-1,,,,保温层外壁温度9,一回路管道TAM1-3
GH001A,YT04,CH6,B9,14,,,10BBDGGGA816-1,,,,保温层外壁温度9,一回路管道TAM1-3
GH001A,YT04,CH7,B9,15,,,10BBDGGGA816-1,,,,,
GH001A,YT04,CH7,B9,16,,,10BBDGGGA816-1,,,,,
GH001A,YT05,CH0,B10,1,,,10BBDGGGA816-1,,,,,
GH001A,YT05,CH0,B10,2,,,10BBDGGGA816-1,,,,,
GH001A,YT05,CH1,B10,3,,,10BBDGGGA816-1,,,,,
GH001A,YT05,CH1,B10,4,,,10BBDGGGA816-1,,,,,
