BY01AX216,备用
BY01AX217,备用
BY01AX218,备用
BY01AX219,备用
BY01AX220,备用
BY01AX221,备用
BY01AX222,备用
BY01AX223,备用
BY01AX224,备用
BY01AX225,备用
BY01AX226,备用
BY01AX227,备用
BY01AX228,备用
BY01AX229,备用
BY01AX230,备用
BY01AX231,备用
BY01AX232,备用
BY01AX233,备用
BY01AX234,备用
BY01AX235,备用
BY01AX236,备用
BY01AX237,备用
BY01AX238,备用
BY01AX239,备用
BY01AX240,备用
BY01AX241,备用
BY01AX242,备用
BY01AX243,备用
BY01AX244,备用
BY01AX245,备用
BY01AX246,备用
BY01AX247,备用
BY01AX248,备用
BY01AX249,备用
BY01AX250,备用
BY01AX251,备用
BY01AX252,备用
BY01AX253,备用
BY01AX254,备用
BY01AX255,备用
BY01AX256,备用
BY01AX257,备用
BY01AX258,备用
BY01AX259,备用
BY01AX260,备用
BY01AX261,备用
BY01AX262,备用
BY01AX263,备用
BY01AX264,备用
BY01AX265,备用
BY01AX266,备用
BY01AX267,备用
BY01AX268,备用
BY01AX269,备用
BY01AX270,备用
BY01AX271,备用
BY01AX272,备用
BY01AX273,备用
BY01AX274,备用
BY01AX275,备用
BY01AX276,备用
BY01AX277,备用
BY01AX278,备用
BY01AX279,备用
BY01AX280,备用
BY01AX281,备用
BY01AX282,备用
BY01AX283,备用
BY01AX284,备用
BY01AX285,备用
BY01AX286,备用
BY01AX287,备用
BY01AX288,备用
BY01AX289,备用
BY01AX290,备用
BY01AX291,备用
BY01AX292,备用
BY01AX293,备用
BY01AX294,备用
BY01AX295,备用
BY01AX296,备用
BY01AX297,备用
BY01AX298,备用
BY01AX299,备用
BY01AX300,备用
BY02AX001,反应堆出口温度
BY02AX002,一回路储罐内插温度01
BY02AX003,一回路储罐内插温度02
BY02AX004,一回路储罐内插温度03
BY02AX005,一回路储罐内插温度04
BY02AX006,一回路冷冻阀02露点温度检测01
BY02AX007,一回路冷冻阀02露点温度检测02
BY02AX008,一回路冷冻阀02露点温度检测03
BY02AX009,一回路冷冻阀02露点温度检测04
BY02AX010,一回路冷冻阀02露点温度检测05
BY02AX011,一回路冷冻阀02露点温度检测06
BY02AX012,一回路冷冻阀03露点温度检测01
BY02AX013,一回路冷冻阀03露点温度检测02
BY02AX014,一回路储罐伴热01目标温度
BY02AX015,一回路储罐伴热01保护温度
BY02AX016,一回路储罐伴热01功率设定反馈值
BY02AX017,一回路储罐伴热02目标温度
BY02AX018,一回路储罐伴热02保护温度
BY02AX019,一回路储罐伴热02功率设定反馈值
BY02AX020,一回路储罐伴热03目标温度
BY02AX021,一回路储罐伴热03保护温度
BY02AX022,一回路储罐伴热03功率设定反馈值
BY02AX023,一回路泵罐加热01目标温度
BY02AX024,一回路泵罐加热01保护温度
BY02AX025,一回路泵罐加热01功率设定反馈值
BY02AX026,一回路泵罐加热02目标温度
BY02AX027,一回路泵罐加热02保护温度
BY02AX028,一回路泵罐加热02功率设定反馈值
BY02AX029,一回路泵罐加热03目标温度
BY02AX030,一回路泵罐加热03保护温度
BY02AX031,一回路泵罐加热03功率设定反馈值
BY02AX032,一回路加载管道伴热PL1-8目标温度
BY02AX033,一回路加载管道伴热PL1-8保护温度
BY02AX034,一回路加载管道伴热PL1-8功率设定反馈值
BY02AX035,一回路加载管道伴热PL1-9目标温度
BY02AX036,一回路加载管道伴热PL1-9保护温度
BY02AX037,一回路加载管道伴热PL1-9功率设定反馈值
BY02AX038,一回路加载管道伴热PL1-10目标温度
BY02AX039,一回路加载管道伴热PL1-10保护温度
BY02AX040,一回路加载管道伴热PL1-10功率设定反馈值
BY02AX041,一回路加载管道伴热PL1-11目标温度
BY02AX042,一回路加载管道伴热PL1-11保护温度
BY02AX043,一回路加载管道伴热PL1-11功率设定反馈值
BY02AX044,一回路加载管道伴热PL1-12目标温度
BY02AX045,一回路加载管道伴热PL1-12保护温度
BY02AX046,一回路加载管道伴热PL1-12功率设定反馈值
BY02AX047,一回路加载管道伴热PL1-13目标温度
BY02AX048,一回路加载管道伴热PL1-13保护温度
BY02AX049,一回路加载管道伴热PL1-13功率设定反馈值
BY02AX050,一回路加载管道伴热PL1-14目标温度
BY02AX051,一回路加载管道伴热PL1-14保护温度
BY02AX052,一回路加载管道伴热PL1-14功率设定反馈值
BY02AX053,一回路加载管道伴热PL1-15目标温度
BY02AX054,一回路加载管道伴热PL1-15保护温度
BY02AX055,一回路加载管道伴热PL1-15功率设定反馈值
BY02AX056,一回路加载管道伴热PL1-16目标温度
BY02AX057,一回路加载管道伴热PL1-16保护温度
BY02AX058,一回路加载管道伴热PL1-16功率设定反馈值
BY02AX059,一回路加载管道伴热PL1-17目标温度
BY02AX060,一回路加载管道伴热PL1-17保护温度
BY02AX061,一回路加载管道伴热PL1-17功率设定反馈值
BY02AX062,一回路加载管道伴热PL1-18目标温度
BY02AX063,一回路加载管道伴热PL1-18保护温度
BY02AX064,一回路加载管道伴热PL1-18功率设定反馈值
BY02AX065,一回路加载管道伴热PL1-19目标温度
BY02AX066,一回路加载管道伴热PL1-19保护温度
BY02AX067,一回路加载管道伴热PL1-19功率设定反馈值
BY02AX068,一回路加载管道伴热PL1-20目标温度
BY02AX069,一回路加载管道伴热PL1-20保护温度
BY02AX070,一回路加载管道伴热PL1-20功率设定反馈值
BY02AX071,一回路加载管道伴热PL1-21目标温度
BY02AX072,一回路加载管道伴热PL1-21保护温度
BY02AX073,一回路加载管道伴热PL1-21功率设定反馈值
BY02AX074,一回路加载管道伴热PL1-22目标温度
BY02AX075,一回路加载管道伴热PL1-22保护温度
BY02AX076,一回路加载管道伴热PL1-22功率设定反馈值
BY02AX077,一回路加载管道伴热PL1-23目标温度
BY02AX078,一回路加载管道伴热PL1-23保护温度
BY02AX079,一回路加载管道伴热PL1-23功率设定反馈值
BY02AX080,一回路加载管道伴热PL1-24目标温度
BY02AX081,一回路加载管道伴热PL1-24保护温度
BY02AX082,一回路加载管道伴热PL1-24功率设定反馈值
BY02AX083,一回路加载管道伴热PL1-25目标温度
BY02AX084,一回路加载管道伴热PL1-25保护温度
BY02AX085, 一回路加载管道伴热PL1-25功率设定反馈值 
BY02AX086,一回路冷冻阀03露点温度检测03
BY02AX087,一回路冷冻阀03露点温度检测04
BY02AX088,一回路冷冻阀03露点温度检测05
BY02AX089,一回路冷冻阀03露点温度检测06
BY02AX090,一回路储罐液位计液位
BY02AX091,备用
BY02AX092,备用
BY02AX093,备用
BY02AX094,备用
BY02AX095,备用
BY02AX096,备用
BY02AX097,备用
BY02AX098,备用
BY02AX099,备用
BY02AX100,备用
BY02AX101,备用
BY02AX102,备用
BY02AX103,备用
BY02AX104,备用
BY02AX105,备用
BY02AX106,备用
BY02AX107,备用
BY02AX108,备用
BY02AX109,备用
BY02AX110,备用
BY02AX111,备用
BY02AX112,备用
BY02AX113,备用
BY02AX114,备用
BY02AX115,备用
BY02AX116,备用
BY02AX117,备用
BY02AX118,备用
BY02AX119,备用
BY02AX120,备用
BY02AX121,备用
BY02AX122,备用
BY02AX123,备用
BY02AX124,备用
BY02AX125,备用
BY02AX126,备用
BY02AX127,备用
BY02AX128,备用
BY02AX129,备用
BY02AX130,备用
BY02AX131,备用
BY02AX132,备用
BY02AX133,备用
BY02AX134,备用
BY02AX135,备用
BY02AX136,备用
BY02AX137,备用
BY02AX138,备用
BY02AX139,备用
BY02AX140,备用
BY02AX141,备用
BY02AX142,备用
BY02AX143,备用
BY02AX144,备用
BY02AX145,备用
BY02AX146,备用
BY02AX147,备用
BY02AX148,备用
BY02AX149,备用
BY02AX150,备用
BY02AX151,备用
BY02AX152,备用
BY02AX153,备用
BY02AX154,备用
BY02AX155,备用
BY02AX156,备用
BY02AX157,备用
BY02AX158,备用
BY02AX159,备用
BY02AX160,备用
BY02AX161,备用
BY02AX162,备用
BY02AX163,备用
BY02AX164,备用
BY02AX165,备用
BY02AX166,备用
BY02AX167,备用
BY02AX168,备用
BY02AX169,备用
BY02AX170,备用
BY02AX171,备用
BY02AX172,备用
BY02AX173,备用
BY02AX174,备用
BY02AX175,备用
BY02AX176,备用
BY02AX177,备用
BY02AX178,备用
BY02AX179,备用
BY02AX180,备用
BY02AX181,备用
BY02AX182,备用
BY02AX183,备用
BY02AX184,备用
BY02AX185,备用
BY02AX186,备用
BY02AX187,备用
BY02AX188,备用
BY02AX189,备用
BY02AX190,备用
BY02AX191,备用
BY02AX192,备用
BY02AX193,备用
BY02AX194,备用
BY02AX195,备用
BY02AX196,备用
BY02AX197,备用
BY02AX198,备用
BY02AX199,备用
BY02AX200,备用
BY02AX201,备用
BY02AX202,备用
BY02AX203,备用
BY02AX204,备用
BY02AX205,备用
BY02AX206,备用
BY02AX207,备用
BY02AX208,备用
BY02AX209,备用
BY02AX210,备用
BY02AX211,备用
BY02AX212,备用
BY02AX213,备用
BY02AX214,备用
BY02AX215,备用
BY02AX216,备用
BY02AX217,备用
BY02AX218,备用
BY02AX219,备用
BY02AX220,备用
BY02AX221,备用
BY02AX222,备用
BY02AX223,备用
BY02AX224,备用
BY02AX225,备用
BY02AX226,备用
BY02AX227,备用
BY02AX228,备用
BY02AX229,备用
BY02AX230,备用
BY02AX231,备用
BY02AX232,备用
BY02AX233,备用
BY02AX234,备用
BY02AX235,备用
BY02AX236,备用
BY02AX237,备用
BY02AX238,备用
BY02AX239,备用
BY02AX240,备用
BY02AX241,备用
BY02AX242,备用
BY02AX243,备用
BY02AX244,备用
BY02AX245,备用
BY02AX246,备用
BY02AX247,备用
BY02AX248,备用
BY02AX249,备用
BY02AX250,备用
BY02AX251,备用
BY02AX252,备用
BY02AX253,备用
BY02AX254,备用
BY02AX255,备用
BY02AX256,备用
BY02AX257,备用
BY02AX258,备用
BY02AX259,备用
BY02AX260,备用
BY02AX261,备用
BY02AX262,备用
BY02AX263,备用
BY02AX264,备用
BY02AX265,备用
BY02AX266,备用
BY02AX267,备用
BY02AX268,备用
BY02AX269,备用
BY02AX270,备用
BY02AX271,备用
BY02AX272,备用
BY02AX273,备用
BY02AX274,备用
BY02AX275,备用
BY02AX276,备用
BY02AX277,备用
BY02AX278,备用
BY02AX279,备用
BY02AX280,备用
BY02AX281,备用
BY02AX282,备用
BY02AX283,备用
BY02AX284,备用
BY02AX285,备用
BY02AX286,备用
BY02AX287,备用
BY02AX288,备用
BY02AX289,备用
BY02AX290,备用
BY02AX291,备用
BY02AX292,备用
BY02AX293,备用
BY02AX294,备用
BY02AX295,备用
BY02AX296,备用
BY02AX297,备用
BY02AX298,备用
BY02AX299,备用
BY02AX300,备用
BY03AX001,PM2-1目标温度
BY03AX002,PM2-1保护温度
BY03AX003,PM2-1功率设定反馈值
BY03AX004,PM2-2目标温度
BY03AX005,PM2-2保护温度
BY03AX006,PM2-2功率设定反馈值
BY03AX007,PM2-3目标温度
BY03AX008,PM2-3保护温度
BY03AX009,PM2-3功率设定反馈值
BY03AX010,PM2-4目标温度
BY03AX011,PM2-4保护温度
BY03AX012,PM2-4功率设定反馈值
BY03AX013,PM2-5目标温度
BY03AX014,PM2-5保护温度
BY03AX015,PM2-5功率设定反馈值
BY03AX016,PM2-6目标温度
BY03AX017,PM2-6保护温度
BY03AX018,PM2-6功率设定反馈值
BY03AX019,PM2-7目标温度
BY03AX020,PM2-7保护温度
BY03AX021,PM2-7功率设定反馈值
BY03AX022,PM2-8目标温度
BY03AX023,PM2-8保护温度
BY03AX024,PM2-8功率设定反馈值
BY03AX025,PM2-9目标温度
BY03AX026,PM2-9保护温度
BY03AX027,PM2-9功率设定反馈值
BY03AX028,PM2-10目标温度
BY03AX029,PM2-10保护温度
BY03AX030,PM2-10功率设定反馈值
BY03AX031,PM2-11目标温度
BY03AX032,PM2-11保护温度
BY03AX033,PM2-11功率设定反馈值
BY03AX034,PM2-12目标温度
BY03AX035,PM2-12保护温度
BY03AX036,PM2-12功率设定反馈值
BY03AX037,PM2-13目标温度
BY03AX038,PM2-13保护温度
BY03AX039,PM2-13功率设定反馈值
BY03AX040,PM2-14目标温度
BY03AX041,PM2-14保护温度
BY03AX042,PM2-14功率设定反馈值
BY03AX043,PM2-15目标温度
BY03AX044,PM2-15保护温度
BY03AX045,PM2-15功率设定反馈值
BY03AX046,PM2-16目标温度
BY03AX047,PM2-16保护温度
BY03AX048,PM2-16功率设定反馈值
BY03AX049,排气塔出口空气温度K(10CMCCT1013)
BY03AX050,排气塔出口空气温度K(10CMCCT1014)
BY03AX051,排气塔出口空气温度K(10CMCCT1015)
BY03AX052,排气塔出口空气温度K(10CMCCT1013)内插温度
BY03AX053,管道保温层壁面温度10
BY03AX054,E21m高度内插温度温度监测
BY03AX055,E19m高度保温棉内壁温度温度监测
BY03AX056,E19m高度保温棉外壁温度温度监测
BY03AX057,E14m高度保温棉内壁温度温度监测
BY03AX058,E14m高度保温棉外壁温度温度监测
BY03AX059,W21m高度内插温度温度监测
BY03AX060,W19m高度保温棉内贴壁温度温度监测
BY03AX061,W19m高度保温棉外贴壁温度温度监测
BY03AX062,W14m高度保温棉内壁温度温度监测
BY03AX063,W14m高度保温棉外壁温度温度监测
BY03AX064,E7465出风管保温层外壁温度温度监测
BY03AX065,E6000出风管出口空气温度（内插）温度监测
BY03AX066,E10690进风口空气温度（内插）温度监测
BY03AX067,W7465出风管保温层外壁温度温度监测
BY03AX068,W6000出风管出口空气温度（内插）温度监测
BY03AX069,W10690进风口空气温度（内插）温度监测
BY03AX070,E9780出风管保温层外壁温度
BY03AX071,W9780出风管保温层外壁温度
BY03AX072,出口管风阀A东14米高开度反馈
BY03AX073,出口管风阀B西14米高开度反馈
BY03AX074,进口管风阀东A开度反馈
BY03AX075,进口管风阀西B开度反馈
BY03AX076,风机接入管路压差△P1（新增）压差
BY03AX077,风机接入管路压差△P2（新增）压差
BY03AX078,风机接入管路压力P1（新增）压力
BY03AX079,余排风机（新增）频率反馈
BY03AX080,E余排装置进风口到出风口空气压差A空气差压计
BY03AX081,W余排装置进风口到出风口空气压差B空气差压计
BY03AX082,E13m高度空气质量流量计出口流量
BY03AX083,W13m高度空气质量流量计出口流量
BY03AX084,E余排换热装置进口空气流量A1进口流量
BY03AX085,W余排换热装置进口空气流量B1进口流量
BY03AX086,备用
BY03AX087,备用
BY03AX088,备用
BY03AX089,备用
BY03AX090,备用
BY03AX091,备用
BY03AX092,备用
BY03AX093,备用
BY03AX094,备用
BY03AX095,备用
BY03AX096,备用
BY03AX097,备用
BY03AX098,备用
BY03AX099,备用
BY03AX100,备用
BY03AX101,备用
BY03AX102,备用
BY03AX103,备用
BY03AX104,备用
BY03AX105,备用
BY03AX106,备用
BY03AX107,备用
BY03AX108,备用
BY03AX109,备用
BY03AX110,备用
BY03AX111,备用
BY03AX112,备用
BY03AX113,备用
BY03AX114,备用
BY03AX115,备用
BY03AX116,备用
BY03AX117,备用
BY03AX118,备用
BY03AX119,备用
BY03AX120,备用
BY03AX121,备用
BY03AX122,备用
BY03AX123,备用
BY03AX124,备用
BY03AX125,备用
BY03AX126,备用
BY03AX127,备用
BY03AX128,备用
BY03AX129,备用
BY03AX130,备用
BY03AX131,备用
BY03AX132,备用
BY03AX133,备用
BY03AX134,备用
BY03AX135,备用
BY03AX136,备用
BY03AX137,备用
BY03AX138,备用
BY03AX139,备用
BY03AX140,备用
BY03AX141,备用
BY03AX142,备用
BY03AX143,备用
BY03AX144,备用
BY03AX145,备用
BY03AX146,备用
BY03AX147,备用
BY03AX148,备用
BY03AX149,备用
BY03AX150,备用
BY03AX151,备用
BY03AX152,备用
BY03AX153,备用
BY03AX154,备用
BY03AX155,备用
BY03AX156,备用
BY03AX157,备用
BY03AX158,备用
BY03AX159,备用
BY03AX160,备用
BY03AX161,备用
BY03AX162,备用
BY03AX163,备用
BY03AX164,备用
BY03AX165,备用
