pwm2_4:alarm,PWM2_4报警状态
pwm2_4:ctl,PWM2_4运行状态
pwm2_4:dig_in,PWM2_4电源状态输入
pwm2_4:dig_out,未用
pwm2_4:err_cmd,未用
pwm2_4:err_len,未用
pwm2_4:in_U,PWM2_4接入母排电压
pwm2_4:in_mask,未用
pwm2_4:index,PWM2_4设备ID
pwm2_4:load_C,PWM2_4负载电流
pwm2_4:load_U,PWM2_4负载电压
pwm2_4:max_ref_C,PWM2_4最大设定电流
pwm2_4:min_ref_C,PWM2_4最小设定电流
pwm2_4:out_mask,未用
pwm2_4:ref_C,PWM2_4电流设定值
pwm2_4:ref_C_Filter,未用
pwm2_4:temp,PWM2_4电源温度反馈
pwm2_5:alarm,未用
pwm2_5:ctl,未用
pwm2_5:dig_in,未用
pwm2_5:dig_out,未用
pwm2_5:err_cmd,未用
pwm2_5:err_len,未用
pwm2_5:in_U,未用
pwm2_5:in_mask,未用
pwm2_5:index,未用
pwm2_5:load_C,未用
pwm2_5:load_U,未用
pwm2_5:max_ref_C,未用
pwm2_5:min_ref_C,未用
pwm2_5:out_mask,未用
pwm2_5:ref_C,未用
pwm2_5:ref_C_Filter,未用
pwm2_5:temp,未用
pwm3_5:alarm,未用
pwm3_5:ctl,未用
pwm3_5:dig_in,未用
pwm3_5:dig_out,未用
pwm3_5:err_cmd,未用
pwm3_5:err_len,未用
pwm3_5:in_U,未用
pwm3_5:in_mask,未用
pwm3_5:index,未用
pwm3_5:load_C,未用
pwm3_5:load_U,未用
pwm3_5:max_ref_C,未用
pwm3_5:min_ref_C,未用
pwm3_5:out_mask,未用
pwm3_5:ref_C,未用
pwm3_5:ref_C_Filter,未用
pwm3_5:temp,未用
pwm3_6:alarm,未用
pwm3_6:ctl,未用
pwm3_6:dig_in,未用
pwm3_6:dig_out,未用
pwm3_6:err_cmd,未用
pwm3_6:err_len,未用
pwm3_6:in_U,未用
pwm3_6:in_mask,未用
pwm3_6:index,未用
pwm3_6:load_C,未用
pwm3_6:load_U,未用
pwm3_6:max_ref_C,未用
pwm3_6:min_ref_C,未用
pwm3_6:out_mask,未用
pwm3_6:ref_C,未用
pwm3_6:ref_C_Filter,未用
pwm3_6:temp,未用
pwm3_7:alarm,未用
pwm3_7:ctl,未用
pwm3_7:dig_in,未用
pwm3_7:dig_out,未用
pwm3_7:err_cmd,未用
pwm3_7:err_len,未用
pwm3_7:in_U,未用
pwm3_7:in_mask,未用
pwm3_7:index,未用
pwm3_7:load_C,未用
pwm3_7:load_U,未用
pwm3_7:max_ref_C,未用
pwm3_7:min_ref_C,未用
pwm3_7:out_mask,未用
pwm3_7:ref_C,未用
pwm3_7:ref_C_Filter,未用
pwm3_7:temp,未用
pwm3_8:alarm,未用
pwm3_8:ctl,未用
pwm3_8:dig_in,未用
pwm3_8:dig_out,未用
pwm3_8:err_cmd,未用
pwm3_8:err_len,未用
pwm3_8:in_U,未用
pwm3_8:in_mask,未用
pwm3_8:index,未用
pwm3_8:load_C,未用
pwm3_8:load_U,未用
pwm3_8:max_ref_C,未用
pwm3_8:min_ref_C,未用
pwm3_8:out_mask,未用
pwm3_8:ref_C,未用
pwm3_8:ref_C_Filter,未用
pwm3_8:temp,未用
pwm3_9:alarm,未用
pwm3_9:ctl,未用
pwm3_9:dig_in,未用
pwm3_9:dig_out,未用
pwm3_9:err_cmd,未用
pwm3_9:err_len,未用
pwm3_9:in_U,未用
pwm3_9:in_mask,未用
pwm3_9:index,未用
pwm3_9:load_C,未用
pwm3_9:load_U,未用
pwm3_9:max_ref_C,未用
pwm3_9:min_ref_C,未用
pwm3_9:out_mask,未用
pwm3_9:ref_C,未用
pwm3_9:ref_C_Filter,未用
pwm3_9:temp,未用
pwmC03:alarm,未用
pwmC03:ctl,未用
pwmC03:dig_in,未用
pwmC03:dig_out,未用
pwmC03:err_cmd,未用
pwmC03:err_len,未用
pwmC03:in_U,未用
pwmC03:in_mask,未用
pwmC03:index,未用
pwmC03:load_C,未用
pwmC03:load_U,未用
pwmC03:max_ref_C,未用
pwmC03:min_ref_C,未用
pwmC03:out_mask,未用
pwmC03:ref_C,未用
pwmC03:ref_C_Filter,未用
pwmC03:temp,未用
pwm2_4:ctl_set,未用
pwm2_4:current_set,未用
pwm2_5:ctl_set,未用
pwm2_5:current_set,未用
pwm3_5:ctl_set,未用
pwm3_5:current_set,未用
pwm3_6:ctl_set,未用
pwm3_6:current_set,未用
pwm3_7:ctl_set,未用
pwm3_7:current_set,未用
pwm3_8:ctl_set,未用
pwm3_8:current_set,未用
pwm3_9:ctl_set,未用
pwm3_9:current_set,未用
pwmC03:ctl_set,未用
pwm2_4,未用
pwm2_5,未用
pwm3_5,未用
pwm3_6,未用
pwm3_7,未用
pwm3_8,未用
pwm3_9,未用
pwmC03,未用
