PointName,PointDesp
BY04DY41,备用
BY04DY42,备用
BY04DY43,备用
BY04DY44,备用
BY04DY45,备用
BY04DY46,备用
BY04DY47,备用
BY04DY48,备用
BY04DY49,备用
BY04DY50,备用
BY05DY001,启动控制PL1-26
BY05DY002,超温复位PL1-26
BY05DY003,启动控制PL1-27
BY05DY004,超温复位PL1-27
BY05DY005,启动控制PL1-28
BY05DY006,超温复位PL1-28
BY05DY007,备用
BY05DY008,备用
BY05DY009,熔盐空气换热器主路蝶阀打开
BY05DY010,熔盐空气换热器主路蝶阀关闭
BY05DY011,熔盐空气换热器主路蝶阀远停
BY05DY012,熔盐空气换热器次路蝶阀打开
BY05DY013,熔盐空气换热器次路蝶阀关闭
BY05DY014,熔盐空气换热器次路蝶阀远停
BY05DY015,备用
BY05DY016,备用
BY05DY017,备用
BY05DY018,备用
BY05DY019,备用
BY05DY020,备用
BY05DY021,备用
BY05DY022,备用
BY05DY023,备用
BY05DY024,备用
BY05DY025,备用
BY05DY026,备用
BY05DY027,备用
BY05DY028,备用
BY05DY029,备用
BY05DY030,备用
BY05DY031,备用
BY05DY032,备用
BY05DY033,备用
BY05DY034,备用
BY05DY035,备用
BY05DY036,备用
BY05DY037,备用
BY05DY038,备用
BY05DY039,备用
BY05DY040,备用
BY05DY041,备用
BY05DY042,备用
BY05DY043,备用
BY05DY044,备用
BY05DY045,备用
BY05DY046,备用
BY05DY047,备用
BY05DY048,备用
BY05DY049,备用
BY05DY050,备用
BY06DY001,一回路泵电源启动
BY06DY002,一回路泵电源停止
BY06DY003,一回路泵电机变频器启动
BY06DY004,电动调节阀1停止
BY06DY005,一回路泵电机变频器停止
BY06DY006,二回路泵电源上电控制
BY06DY007,二回路泵电源开关控制
BY06DY008,二回路泵电机变频器启动
BY06DY009,电动调节阀2停止
BY06DY010,二回路泵电机变频器停止
BY06DY011,冷冻阀冷却风机01运行控制
BY06DY012,电动阀调节1启动
BY06DY013,冷冻阀冷却风机02运行控制
BY06DY014,电动阀调节2启动
BY06DY015,冷冻阀冷却风机03运行控制
BY06DY016,电动阀调节3启动
BY06DY017,冷冻阀冷却风机04运行控制
BY06DY018,电动阀调节4启动
BY06DY019,熔盐空气换热器预热炉进口高温阀打开
BY06DY020,熔盐空气换热器预热炉进口高温阀关闭
BY06DY021,熔盐空气换热器预热炉出口高温阀打开
BY06DY022,熔盐空气换热器预热炉出口高温阀关闭
BY06DY023,熔盐空气换热器全路闸阀打开
BY06DY024,熔盐空气换热器全路闸阀关闭
BY06DY025,熔盐空气换热器次路闸阀打开
BY06DY026,熔盐空气换热器次路闸阀关闭
BY06DY027,熔盐空气换热器混风阀打开
BY06DY028,熔盐空气换热器混风阀关闭
BY06DY029,熔盐空气换热器全路风机运行控制
